inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost,epoch_model_name,biggest_in_class,cost_per_M_tokens,input_cost_per_M_tokens,output_cost_per_M_tokens,cost_source,api_source,last_updated
google/gemini-1.5-pro,0.4020100502512563,0.03484438491844332,21731,21126,605,benchmarks/lab_bench,199,199,ewrKub8Jzy5ov7YMj6mQYW,2024-10-03T10:51:59-04:00,2024-10-03T10:51:59-04:00,2024-10-03T10:52:11-04:00,2024-10-03T10-51-59-04-00_benchmarks-lab-bench_j5i9FWdEMWMXVVxmzqY2XR.json,0.08,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.34673366834170855,0.033822877290110485,21767,21126,641,benchmarks/lab_bench,199,199,7g8dhS8EDYsqmSEARHqxrW,2024-10-03T10:50:49-04:00,2024-10-03T10:50:49-04:00,2024-10-03T10:51:02-04:00,2024-10-03T10-50-49-04-00_benchmarks-lab-bench_KQMTF3Ygf5et4D2cDCvEba.json,0.08,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.4371859296482412,0.03525193544123143,21725,21126,599,benchmarks/lab_bench,199,199,VRzeVvB6MUJKU8Jic6PLpS,2024-10-03T10:52:12-04:00,2024-10-03T10:52:12-04:00,2024-10-03T10:52:25-04:00,2024-10-03T10-52-12-04-00_benchmarks-lab-bench_Zw9uRWB7UzsyC3ceaRSnaF.json,0.08,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.4120603015075377,0.034979547374003786,21775,21126,649,benchmarks/lab_bench,199,199,JiD4YYAXmDwi2KHXMzazer,2024-10-03T10:51:03-04:00,2024-10-03T10:51:03-04:00,2024-10-03T10:51:16-04:00,2024-10-03T10-51-03-04-00_benchmarks-lab-bench_KzqtwuqAQkuE7kGkqnHafk.json,0.08,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.3768844221105528,0.03443941793177597,21735,21126,609,benchmarks/lab_bench,199,199,GGDWrDVYNUYBGWMCLVDRbh,2024-10-03T10:51:17-04:00,2024-10-03T10:51:17-04:00,2024-10-03T10:51:30-04:00,2024-10-03T10-51-17-04-00_benchmarks-lab-bench_YuzrtD7PfMder4U3APEHnE.json,0.08,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.35678391959798994,0.034044619734995264,21731,21126,605,benchmarks/lab_bench,199,199,hetBew6yZLBxxpY5NLboAG,2024-10-03T10:51:46-04:00,2024-10-03T10:51:46-04:00,2024-10-03T10:51:58-04:00,2024-10-03T10-51-46-04-00_benchmarks-lab-bench_5tpML68HaKz8RUL6RdfbkU.json,0.08,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.3869346733668342,0.03461302901134309,21799,21126,673,benchmarks/lab_bench,199,199,8fAUCGfvWNLg59ZNT5cy5q,2024-10-03T10:51:31-04:00,2024-10-03T10:51:31-04:00,2024-10-03T10:51:45-04:00,2024-10-03T10-51-31-04-00_benchmarks-lab-bench_9ZnwE2qbxrWBmp7WgFQpM5.json,0.08,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.36180904522613067,0.03414934964098813,21743,21126,617,benchmarks/lab_bench,199,199,QYxC35yjHajztvD9pVwRYy,2024-10-03T10:52:29-04:00,2024-10-03T10:52:29-04:00,2024-10-03T10:52:42-04:00,2024-10-03T10-52-29-04-00_benchmarks-lab-bench_KuWV7sbDsGyLmh7E6zcMzt.json,0.08,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.40703517587939697,0.03491385802519048,21753,21126,627,benchmarks/lab_bench,199,199,cW6GFTfSxaZ9nXv6QyTwAH,2024-10-03T10:50:35-04:00,2024-10-03T10:50:35-04:00,2024-10-03T10:50:48-04:00,2024-10-03T10-50-35-04-00_benchmarks-lab-bench_VHB6fqRHztKJdWm6oRmEVg.json,0.08,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
google/gemini-1.5-pro,0.35175879396984927,0.03393580874720538,21759,21126,633,benchmarks/run,199,199,KjEdDcDcxkHnnkP6NETvDM,2024-09-11T21:14:20-04:00,2024-09-11T21:14:20-04:00,2024-09-11T21:14:44-04:00,2024-09-11T21-14-20-04-00_benchmarks-run_YkoGxRbjqoEvN4zzatZx2g.json,0.08,Gemini 1.5 Pro,1,,$3.50,$10.50,https://ai.google.dev/pricing,https://ai.google.dev/gemini-api/docs/models/gemini,2024-09-03
